消费类型,消费价格,日期,时间,服务器时间
住房与居住,77,2024-07-23,00:00,2024-07-23 16:33:03
健康与医疗,543,2024-07-23,00:00,2024-07-23 21:59:48
家庭与个人杂项,543,2024-07-23,00:00,2024-07-23 22:00:09
家庭与个人杂项,543,2024-07-23,00:00,2024-07-23 22:04:54
食品与饮料,88,2024-07-23,00:00,2024-07-23 22:46:02
食品与饮料,88,2024-07-23,00:00,2024-07-23 22:48:50
食品与饮料,88,2024-07-23,00:00,2024-07-23 22:49:56
食品与饮料,30,2024-07-23,23:59,2024-07-23 23:11:28
食品与饮料,30,2024-07-23,23:59,2024-07-23 23:11:46
住房与居住,4554,2024-07-23,00:00,2024-07-23 23:17:08
食品与饮料,30,2024-07-23,23:59,2024-07-23 23:19:04
住房与居住,4554,2024-07-23,00:00,2024-07-23 23:19:16
住房与居住,4554,2024-07-23,00:00,2024-07-23 23:19:36
食品与饮料,33,2024-06-24,00:00,2024-07-24 00:33:59
食品与饮料,33,2023-07-24,00:00,2024-07-24 14:50:28
